239789,3x4,69.88,38.51
239790,3x4,136.30,89.11
239791,3x4,70.79,38.61
239792,3x4,83.01,43.24
239793,3x4,80.44,42.41
239794,3x4,81.03,42.82
239795,3x4,71.00,38.38
239796,3x4,70.56,38.97
239797,3x4,70.56,38.97
239798,3x4,70.62,39.38
239799,3x4,70.62,39.38
239800,3x4,69.96,38.74
239801,3x4,83.21,43.40
239802,3x4,83.21,43.40
239803,3x4,71.94,38.86
239804,3x4,69.98,39.06
239805,3x4,70.27,38.91
239806,3x4,69.69,38.30
239807,3x4,71.27,39.24
239808,3x4,71.35,38.79
239809,3x4,82.65,42.48
239810,3x4,82.45,44.84
239811,3x4,70.22,43.63
239812,3x4,72.18,38.74
239813,4x3,63.04,37.86
239814,4x3,64.46,39.41
239815,4x3,65.36,39.53
239816,4x3,65.25,39.10
239817,4x3,62.15,39.44
239818,4x3,63.94,40.08
239819,4x3,63.94,40.08
239820,4x3,61.68,39.39
239821,4x3,61.82,37.80
239822,4x3,66.44,41.23
239823,4x3,62.25,37.81
239824,4x3,62.49,38.78
239825,4x3,61.46,38.52
239826,4x3,63.75,39.73
239827,4x3,63.60,39.72
239828,4x3,64.58,39.79
239829,4x3,64.05,39.73
239830,4x3,63.80,39.67
239831,4x3,63.83,39.49
239832,4x3,64.36,39.87
239833,4x3,60.17,36.15
239834,4x3,59.68,36.58
239835,4x3,58.87,36.59
239836,4x3,58.78,36.12
239837,4x3,58.10,35.64
239838,4x3,67.72,41.61
239839,4x3,66.91,42.02
239840,4x3,66.61,41.78
239841,4x3,68.21,42.55
239842,4x3,67.61,41.98
239843,4x4,67.61,41.98
239844,4x4,59.03,35.52
239845,4x4,52.07,29.26
239846,4x4,51.66,29.90
239847,4x4,51.82,29.63
239848,4x4,52.17,30.00
239849,4x4,52.39,29.45
239850,4x4,51.85,29.47
239851,4x4,51.63,29.68
239852,4x4,52.61,30.45
239853,4x4,52.39,30.09
239854,4x4,51.42,29.57
239855,4x4,51.88,30.04
239856,4x4,52.14,29.88
239857,4x4,52.10,29.69
239858,4x4,51.96,29.69
239859,4x4,52.64,30.18
239860,4x4,50.36,29.13
239861,4x4,52.58,30.52
239862,4x4,52.25,29.86
239863,4x4,51.84,29.71
239864,4x4,51.58,29.68
239865,4x4,53.13,30.31
239866,4x4,51.57,29.63
239867,4x4,52.13,29.87
239868,4x4,51.19,29.96
239869,4x4,52.70,30.40
239870,4x4,52.14,29.88
239871,4x4,52.00,29.88
239872,4x4,52.62,30.36
